level,code,description,parent_code
1,A,Mythological Motifs,
1,B,Animal Motifs,
1,C,Motifs of Tabu,
1,D,Magic,
1,E,The Dead,
1,F,Marvels,
1,G,Ogres,
1,H,Tests,
1,I,No,
1,J,The Wise and the Foolish,
1,K,Deceptions,
1,L,Reversals of Fortune,
1,M,Ordaining the Future,
1,N,Chance and Fate,
1,O,Lord of Love who art above,
1,P,Society,
1,Q,Rewards and Punishments,
1,R,Captives and Fugitives,
1,S,Unnatural Cruelty,
1,T,Sex,
1,U,The Nature of Life,
1,V,Religion,
1,W,Traits of Character,
1,X,Humor,
1,Z,Miscellaneous Groups of Motifs,
2,A0-A99,Creator,A
2,A100-A499,GODS,A
2,A1000-A1099,World calamities and renewals.,A
2,A1100-A1199,Establishment of natural order.,A
2,A1200-A1699,CREATION AND ORDERING OF HUMAN LIFE,A
2,A1700-A2199,CREATION OF ANIMAL LIFE,A
2,A2200-A2599,ANIMAL CHARACTERISTICS,A
2,A2600-A2699,Origin of trees and plants.,A
2,A2700-A2799,Origin of plant characteristics.,A
2,A2800-A2899,Miscellaneous explanations,A
2,A500-A599,Demigods and culture heroes.,A
2,A600-A899,COSMOGONY AND COSMOLOGY,A
2,A900-A999,Topographical features of the earth.,A
2,B0-B99,Mythical animals,B
2,B100-B199,Magic animals,B
2,B200-B299,Animals with human traits,B
2,B300-B599,FRIENDLY ANIMALS,B
2,B600-B699,Marriage of person to animal,B
2,B700-B799,Fanciful traits of animals,B
2,B800-B899,Miscellaneous animal motifs,B
2,C0-C99,Tabu connected with supernatural beings,C
2,C100-C199,Sex tabu,C
2,C200-C299,Eating and drinking tabu,C
2,C300-C399,Looking tabu,C
2,C400-C499,Speaking tabu,C
2,C500-C549,Tabu: touching,C
2,C550-C599,Class tabu,C
2,C600-C699,Unique prohibitions and compulsions,C
2,C700-C899,Miscellaneous tabus,C
2,C900-C999,Punishment for breaking tabu,C
2,D0-D699,TRANSFORMATION,D
2,D1700-D2199,MAGIC POWERS AND MANIFESTATIONS,D
2,D700-D799,Disenchantment,D
2,D800-D1699,MAGIC OBJECTS,D
2,E0-E199,Resuscitation,E
2,E200-E599,GHOSTS AND OTHER REVENANTS,E
2,E600-E699,Reincarnation,E
2,E700-E799,The soul,E
2,F0-F199,Otherworld Journeys,F
2,F200-F699,MARVELOUS CREATURES,F
2,F700-F899,Extraordinary places and things,F
2,F900-F1099,Extraordinary occurrences,F
2,G10-G399,KINDS OF OGRES,G
2,G400-G499,Falling into ogre's power,G
2,G500-G599,Ogre defeated,G
2,G600-G699,Other ogre motifs,G
2,H0-H199,Identity tests: recognition,H
2,H1200-H1399,TESTS OF PROWESS: QUESTS,H
2,H1400-H1599,OTHER TESTS,H
2,H200-H299,Tests of truth,H
2,H300-H499,Marriage tests,H
2,H500-H899,TESTS OF CLEVERNESS,H
