motif_code,title,level_1_category,level_2_category,level_2_range,level_3_category,level_3_range
A0,"Creator.—For a general bibliography of creation myths, see Alexander N. Am.",Mythological Motifs,Creator,A0-A99,,
A10,Nature of the creator.—India: Thompson-Balys.,Mythological Motifs,Creator,A0-A99,,
A20,Origin of the creator.,Mythological Motifs,Creator,A0-A99,,
A30,Creator's companions. Inca: Rowe BBAE CXLIII (2) 315; Tahiti: Henry,Mythological Motifs,Creator,A0-A99,,
A40,Creator's advisers. Jewish: Neuman.,Mythological Motifs,Creator,A0-A99,,
A50,"Conflict of good and evil creators. *Dh I 1—89 passim, 172ff.—Jewish:",Mythological Motifs,Creator,A0-A99,,
A60,Marplot at creation. An evil opponent attempts to undo or mar the work of,Mythological Motifs,Creator,A0-A99,,
A70,Creator: miscellaneous motifs.,Mythological Motifs,Creator,A0-A99,,
A100,Deity.,Mythological Motifs,GODS,A100-A499,The gods in general.,A100-A199
A110,Origin of the gods.,Mythological Motifs,GODS,A100-A499,The gods in general.,A100-A199
A120,Nature and appearance of the gods. (cf. A18f.). Jewish: *Neuman.,Mythological Motifs,GODS,A100-A499,The gods in general.,A100-A199
A140,Gods as workmen. Icel.: MacCulloch Eddic 327.,Mythological Motifs,GODS,A100-A499,The gods in general.,A100-A199
A150,Daily life of the gods.,Mythological Motifs,GODS,A100-A499,The gods in general.,A100-A199
A160,Mutual relations of the gods.,Mythological Motifs,GODS,A100-A499,The gods in general.,A100-A199
A170,Deeds of the gods.,Mythological Motifs,GODS,A100-A499,The gods in general.,A100-A199
A180,Gods in relation to mortals. Irish myth: Cross; Norse: Olrik Kilderne til,Mythological Motifs,GODS,A100-A499,The gods in general.,A100-A199
A190,Gods: miscellaneous motifs.,Mythological Motifs,GODS,A100-A499,The gods in general.,A100-A199
A200,God of the upper world.,Mythological Motifs,GODS,A100-A499,Gods of the upper world.,A200-A299
A210,"Sky-god. *Cook Zeus; *Cook Classical Review XVII 270, XVIII 365, FL",Mythological Motifs,GODS,A100-A499,Gods of the upper world.,A200-A299
A220,Sun-god. **Frobenius Das Zeitalter des Sonnengottes (Berlin 1904);,Mythological Motifs,GODS,A100-A499,Gods of the upper world.,A200-A299
A240,Moon-god. D. Nielson Die altarabische Mondreligion und die mosaische,Mythological Motifs,GODS,A100-A499,Gods of the upper world.,A200-A299
A250,Star-god. Gressmann Die hellenistische Gestirnreligion (Leipzig 1925).,Mythological Motifs,GODS,A100-A499,Gods of the upper world.,A200-A299
A260,God of light. Greek: Fox 179 (Apollo); Icel.: De la Saussaye 253ff.,Mythological Motifs,GODS,A100-A499,Gods of the upper world.,A200-A299
A270,God of dawn. Gaster Thespis 228.,Mythological Motifs,GODS,A100-A499,Gods of the upper world.,A200-A299
A280,"Weather-god. Irish myth: Cross, Beal XXI 326, 334.",Mythological Motifs,GODS,A100-A499,Gods of the upper world.,A200-A299
A300,God of the underworld. Gaster Thespis 136; Greek: Grote I 3; Irish myth:,Mythological Motifs,GODS,A100-A499,Gods of the underworld.,A300-A399
A310,"God of the world of the dead. *Meyer ""Der irische Totengott und die",Mythological Motifs,GODS,A100-A499,Gods of the underworld.,A300-A399
A400,God of earth. Greek: *Grote I 3; Irish myth: Cross; Egyptian: Müller 42;,Mythological Motifs,GODS,A100-A499,Gods of the earth.,A400-A499
A410,Local gods. Chinese: Graham; Irish myth: Cross.,Mythological Motifs,GODS,A100-A499,Gods of the earth.,A400-A499
A420,God of water. Irish myth: Cross; Icel.: MacCulloch Eddic 167;,Mythological Motifs,GODS,A100-A499,Gods of the earth.,A400-A499
A430,God of vegetation. **Siecke Der Vegetationsgott.—Irish myth: Cross;,Mythological Motifs,GODS,A100-A499,Gods of the earth.,A400-A499
A440,God of animals. Jewish: Neuman; Irish myth: Cross.,Mythological Motifs,GODS,A100-A499,Gods of the earth.,A400-A499
A450,God of trades and professions.,Mythological Motifs,GODS,A100-A499,Gods of the earth.,A400-A499
A460,Gods of abstractions. Greek: Fox 299.,Mythological Motifs,GODS,A100-A499,Gods of the earth.,A400-A499
A490,Miscellaneous gods of the earth. *Hartmann Die germanische Gottheit,Mythological Motifs,GODS,A100-A499,Gods of the earth.,A400-A499
A500,Demigods and culture heroes. Irish myth: Cross; Hawaii: *Beckwith,Mythological Motifs,Demigods and culture heroes.,A500-A599,,
A510,Origin of the culture hero (demigod).,Mythological Motifs,Demigods and culture heroes.,A500-A599,,
A520,Nature of the culture hero (demigod).,Mythological Motifs,Demigods and culture heroes.,A500-A599,,
A530,Culture hero establishes law and order. Norse: Boberg; Greek: Fox 103;,Mythological Motifs,Demigods and culture heroes.,A500-A599,,
A560,Culture hero's (demigod's) departure. Irish myth: Cross; Finnish:,Mythological Motifs,Demigods and culture heroes.,A500-A599,,
A570,Culture hero still lives. Köhler-Bolte I 411; Irish myth: Cross.,Mythological Motifs,Demigods and culture heroes.,A500-A599,,
A580,Culture hero's (divinity's) expected return. Divinity or hero is expected,Mythological Motifs,Demigods and culture heroes.,A500-A599,,
A590,Demigods and culture heroes—miscellaneous.,Mythological Motifs,Demigods and culture heroes.,A500-A599,,
A600,Creation of the universe. In addition to other references in this section,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,CREATION OF THE UNIVERSE,A600-A649
A610,Creation of universe by creator. The creator is existing before all things.,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,CREATION OF THE UNIVERSE,A600-A649
A620,Spontaneous creation of universe. Greek: *Grote I 4.—Maori: Dixon,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,CREATION OF THE UNIVERSE,A600-A649
A630,Series of creations. The present universe is the last of a succession of,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,CREATION OF THE UNIVERSE,A600-A649
A640,Other means of creating the universe.,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,CREATION OF THE UNIVERSE,A600-A649
A650,The universe as a whole.,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,NATURE OF THE UNIVERSE,A650-A699
A660,Nature of the upper world.,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,NATURE OF THE UNIVERSE,A650-A699
A670,Nature of the lower world.,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,NATURE OF THE UNIVERSE,A650-A699
A690,Miscellaneous worlds. Irish myth: Cross.,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,NATURE OF THE UNIVERSE,A650-A699
A700,Creation of the heavenly bodies. Irish myth: Cross; Pawnee: Alexander,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,The heavens,A700-A799
A710,Creation of the sun. *Rühle Sonne und Mond im primitiven Mythus,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,THE SUN,A710-A739
A720,Nature and condition of the sun. Chinese: Graham.,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,THE SUN,A710-A739
A740,"Creation of the moon. (Cf. A710 to A719, where many of the motifs",Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,THE MOON,A740-A759
A750,Nature and condition of the moon. Many motifs in A720 to A739 refer,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,THE MOON,A740-A759
A760,Creation and condition of the stars. *Normann Mythen der Sterne,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,THE STARS,A760-A789
A770,Origin of particular stars. **Normann Mythen der Sterne (Gotha 1925);,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,THE STARS,A760-A789
A780,"The planets (comets, etc.).—*Normann Mythen der Sterne (Gotha",Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,THE STARS,A760-A789
A790,The heavenly lights.,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,The heavens,A700-A799
A800,Creation of the earth. *H. F. Feilberg Skabelses og Syndflodssagn,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,,
A810,Primeval water: In the beginning everything is covered with,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,,
A820,Other means of creation of earth.,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,,
A830,Creation of earth by creator. Genesis ch. I.—Irish myth: Cross; India:,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,,
A840,Support of the earth. India: Thompson-Balys.,Mythological Motifs,COSMOGONY AND COSMOLOGY,A600-A899,,
