atu_number,title,level_1_category,level_2_category,level_3_category,category_range,detail_url,description
1,The theft of fish,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=1,The fox plays dead; a man throws him on his wagon of fish. The fox throws the fish off and carries them away. The wolf imitates and is caught.
2,How the bear lost his tail,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=2,"The bear (wolf) is persuaded to fish with his tail through a hole in the ice. His tail freezes fast. When he is attacked and tries to escape, he loses his tail. Variants 2A. The Buried Tail Dupe's tail is buried or hair tied. He is then attacked.   2B. The Basket Tied to the Wolf's Tail   2C. Bear Persuaded to Jump over Fire   2D. Wolf – Bear – Persuaded to Turn in Wind"
3,Sham Blood and Brains,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=3,"The fox covers his head with buttermilk (blood, urine, etc.) and says that his brains have been knocked out. Frightens the bear. No examples in our database yet"
4,Carrying the Sham-Sick Trickster,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=4,The fox shams sickness and is carried by the wolf.   See also: 72
5,Biting the foot,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=5,"The fox to the bear, who is biting his foot: »You are biting the tree root.» The bear lets loose. No examples in our database yet"
7,The calling of three tree names,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=7,The bear and the fox wager as to which can name three trees first. The bear names different varieties of the same tree. The fox wins the wager.
8,"""Painting"" on the Haycock",ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=8,The bear (wolf) wants to be painted like the birds. The fox persuades him to lie on a haycock and sets fire to it. Variants 8A. False Beauty-doctor The trickster pretends to make the dupe beautiful. Injures him.   No examples in our database yet
9,The unjust partner,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=9,"In the field and in the stable. The bear works: the idle fox cheats the bear. Variants 9A. In the Stable the Bear Threshes The fox pretends to hold up the roof so that it will not fall on the bear's head.   9B. In the Division of the Crop the Fox Takes the Corn While sharing the corn they planted together, the fox takes the corn and the bear the chaff. The fox claims the difference in sound is because his share got moist.  9C. In Cooking Dinner the Fox's Porridge Is Light No examples in our database yet"
15,Stealing the Partner's Butter,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=15,The fox (the hen) pretends that he has been invited to be godfather and steals the butter stored by him and the bear (the cock) for the winter. He smears butter on the mouth (tail) of the sleeping bear.
20,Animals Eat One Another Up,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=20,"The fox persuades them to begin with the smallest. See also: 231* Variants 20A. The Animals are Caught in a Pit To eat one another up.   20B. An Old Man is Caught in a Trap and Dies The animals carry his body home, eat him up, and have nothing left to eat.   20C. The End of the World A duck sees a man pee and things the world is on fire. He flees and tells others of the bad disaster."
21,Eating his own Entrails,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=21,The fox persuades the wolf (bear) to eat his own entrails. See also: 20 No examples in our database yet
30,The Fox Tricks the Wolf into Falling into a Pit,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=30,Race. No examples in our database yet
34,The Wolf Dives into the Water for Reflected Cheese,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=34,"The wolf and the fox think the reflection of the moon in the water is a cheese. The fox lowers the wold into the water, the wolf fall into the water and the cheese disappears.  Motives J1791.3 Variants 34A. Dog Drops his Meat for the Reflection Crossing the stream with the meat in his mouth he sees his reflection; thinking it another dog with meat he dives for it and loses his meat.   34B. The Wolf Drinks Water to Get Cheese Fox puts stopper in him to keep water from escaping but takes it out when they come to a tavern."
36,The Fox in Disguise Violates the She-Bear,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=36,"The she-bear is caught in a tree cleft or hole in the hedge . To avoid later recognition the fox covers himself with soot and is taken for the pastor. Variant: the hare, the she-fox. No examples in our database yet"
37,The fox as shepherd,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=37,Search for a nursemaid (or mourning-woman). Fox takes service and eats up the young bears.
38,Claw in Split Tree,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=38,The fox (or man) persuades the bear to stick his claw in the cleft of a split tree. See also: 151
39,The Bear Pulls Mountain Ashes apart so that the Fox's Old Mother can Get Berries,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=39,The fox eats the berries himself. No examples in our database yet back to index
41,The Wolf Overeats in the Cellar,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=41,"The fox persuades the wolf to enter a cellar (smokehouse or kitchen) and steal food. The wolf eats so much that he cannot escape through the hole he has entered by. He is killed. Cf. Types 33 *, 33 **."
43,"The Bear Builds a House of Wood; the Fox, of Ice",ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=43,"In summer the fox wants to drive the bear out of his house Cf. Types 81 , 1097 , 1238 . No examples in our database yet"
44,The Oath on the Iron,ANIMAL TALES,Wild Animals,The Clever Fox (Other Animal),1-69,index.php?action=atu&src=atu&id=44,"In a dispute between the fox, the wolf, and the bear concerning the theft of their winter supplies, the fox denies the guilt and swears by touching iron (a trap). The bear follows his example but hits the iron so hard that his paws are caught. No examples in our database yet back to index"
