story_name,relative_path,culture,language,summary
CH_002_牛郎织女,synthetic_datasets/generated_stories/ChineseTales/CH_002_牛郎织女_v3/gemini/CH_002_牛郎织女_gen_06.txt,ChineseTales,zh,牛郎因家暴被赶出家门，依靠老牛建起小家并遇见织女，两人结为夫妻育有儿女。天帝得知织女私配凡人后强行拆散他们，牛郎追至天河被王母划出银河阻隔。最终夫妻隔河相望，以梭子和拐子传递思念，成为星空中永恒的传说。
CH_002_牛郎织女,synthetic_datasets/generated_stories/ChineseTales/CH_002_牛郎织女_v3/gemini/CH_002_牛郎织女_gen_07.txt,ChineseTales,zh,织女因厌倦天庭枯燥生活下凡与受苦的牛郎结缘，两人婚后育有子女却遭天帝强行拆散。牛郎冒死追至天河边，用粪瓢舀水、披神牛皮对抗天规，最终被王母娘娘划出天河阻隔。这对恋人只能隔河相望，以梭子与纺车在夜空中编织永恒的相思传说。
CH_002_牛郎织女,synthetic_datasets/generated_stories/ChineseTales/CH_002_牛郎织女_v3/gemini/CH_002_牛郎织女_gen_08.txt,ChineseTales,zh,牛郎因家贫被哥嫂虐待后，靠老牛帮助建立茅屋，偶遇下凡的织女并结为夫妻，育有一双儿女。天帝得知后强行拆散他们，将织女拘回天庭，用银河阻隔夫妻。最终两人隔河相望，以梭子和拐子为信物，演绎出千古传颂的相思之恋。
CH_002_牛郎织女,synthetic_datasets/generated_stories/ChineseTales/CH_002_牛郎织女_v3/gemini/CH_002_牛郎织女_gen_09.txt,ChineseTales,zh,《牛郎织女》讲述天界织女因思念凡间牛郎而私奔相恋，两人婚后生子却遭天帝强行拆散。牛郎冒死追至银河，王母娘娘以金簪划出天河阻隔重逢，最终夫妻只能隔河相望，化作夜空中相依的星宿，象征永恒的爱与无奈的分离。
CH_002_牛郎织女,synthetic_datasets/generated_stories/ChineseTales/CH_002_牛郎织女_v3/gemini/CH_002_牛郎织女_gen_10.txt,ChineseTales,zh,故事讲述了织女因天庭劳作疲惫而下凡，与被哥嫂虐待的牛郎相遇相恋，结为夫妻并育有子女。天帝得知织女私奔后强行将其带回天庭，牛郎追至银河畔与织女隔河相望。最终两人被允许以梭子和拐子为信物隔河相守，演绎出跨越天地的永恒爱情传说。
CH_002_牛郎织女,synthetic_datasets/generated_stories/ChineseTales/CH_002_牛郎织女_v3/gemini/CH_002_牛郎织女_gen_11.txt,ChineseTales,zh,牛郎因家暴被赶出家门后，凭借老牛指引取得织女衣裳娶得仙女为妻，两人婚后生子安居。天帝强拆姻缘，牛郎追至银河畔与织女隔河相望，最终化作鹊桥相会的永恒传说。故事展现了跨越天界的爱情悲剧，以及平凡人对幸福生活的执着追求。
CH_002_牛郎织女,synthetic_datasets/generated_stories/ChineseTales/CH_002_牛郎织女_v3/gemini/CH_002_牛郎织女_gen_12.txt,ChineseTales,zh,织女因孤独向往凡间，牛郎因受苦被哥嫂赶出家门，两人相遇后相爱结婚并育有一子一女。天帝禁止神仙与凡人通婚，强行拆散他们，牛郎追至银河边与王母娘娘划出的天河对峙。最终两人被允许隔河相望，以梭子和拐子传递思念，成为千古传颂的爱情传说。
CH_003_孟姜女哭长城,synthetic_datasets/generated_stories/ChineseTales/CH_003_孟姜女哭长城_v3/gemini/CH_003_孟姜女哭长城_gen_01.txt,ChineseTales,zh,秦始皇为修筑长城强征民夫，书生万喜良为避役躲入孟家后院，误闯孟姜女沐浴处，两人因缘际会结为夫妻。丈夫被强征后，孟姜女千里寻夫，哭倒长城后怒斥暴政，最终投海自尽，以生命反抗秦始皇的暴虐统治，化作守护百姓的星辰传说。
CH_003_孟姜女哭长城,synthetic_datasets/generated_stories/ChineseTales/CH_003_孟姜女哭长城_v3/gemini/CH_003_孟姜女哭长城_gen_02.txt,ChineseTales,zh,秦始皇为巩固统治强征民夫修筑长城，书生万喜良为逃避徭役躲入孟员外家，与善良的孟姜女结缘成婚。丈夫被官府抓走后，孟姜女历经艰辛寻至长城，得知丈夫因劳累致死，悲痛欲绝。她以贞烈之姿反抗暴君，最终跳海自尽，化作星辰守护苍生，成为反抗暴政与追求爱情的永恒象征。
CH_003_孟姜女哭长城,synthetic_datasets/generated_stories/ChineseTales/CH_003_孟姜女哭长城_v3/gemini/CH_003_孟姜女哭长城_gen_03.txt,ChineseTales,zh,大秦帝国为防胡人修筑长城，导致百姓苦不堪言，书生万喜良被迫逃亡途中与孟姜女相遇相恋。万喜良被官府抓走后，孟姜女千里寻夫哭倒长城，以生命抗争暴政，最终化作守护真情的神话。故事通过乱世爱情与反抗暴政的悲剧，展现了百姓对自由与真情的坚守。
CH_003_孟姜女哭长城,synthetic_datasets/generated_stories/ChineseTales/CH_003_孟姜女哭长城_v3/gemini/CH_003_孟姜女哭长城_gen_04.txt,ChineseTales,zh,"秦始皇听信术士修筑长城，迫使万喜良逃亡途中与大善人之女孟姜女结缘成婚。万喜良被抓去修长城后，孟姜女千里寻夫哭倒长城，揭露暴君罪行并以三个条件逼迫秦始皇祭奠亡夫。最终她纵身跳海化为神仙，留下""孟姜女哭长城""的千古传说。"
CH_003_孟姜女哭长城,synthetic_datasets/generated_stories/ChineseTales/CH_003_孟姜女哭长城_v3/gemini/CH_003_孟姜女哭长城_gen_05.txt,ChineseTales,zh,秦始皇为筑长城征召民夫，才子万喜良为避徭役逃亡途中与奇女子孟姜女相遇成婚。新婚三日丈夫被征入长城劳役身亡，孟姜女悲痛欲绝哭倒长城，最终以死明志化为守护真爱的神灵，其泣血寻夫、殉情抗暴的传说成为千古绝唱。
CH_003_孟姜女哭长城,synthetic_datasets/generated_stories/ChineseTales/CH_003_孟姜女哭长城_v3/gemini/CH_003_孟姜女哭长城_gen_06.txt,ChineseTales,zh,大秦帝国为修长城强征民力，书生万喜良为避徭役逃亡途中与孟姜女相遇相恋，却因丈夫被征役致死而悲痛欲绝。孟姜女历经艰辛寻夫未果，最终以死抗争暴政，化作海神守护百姓，其故事成为反抗暴政的永恒象征。
CH_003_孟姜女哭长城,synthetic_datasets/generated_stories/ChineseTales/CH_003_孟姜女哭长城_v3/gemini/CH_003_孟姜女哭长城_gen_07.txt,ChineseTales,zh,秦始皇为抵御外敌强征民夫修筑长城，书生万喜良被迫逃亡途中与孟姜女相遇相恋。孟姜女为寻夫千里送寒衣，哭倒长城后揭露丈夫被活埋真相，最终以死抗争暴君秦始皇，化作海中仙灵，留下千古悲情传说。故事通过孟姜女的忠贞与反抗，控诉秦朝暴政，成为民间歌颂爱情与正义的经典传说。
CH_004_梁山伯与祝英台,synthetic_datasets/generated_stories/ChineseTales/CH_004_梁山伯与祝英台_v3/gemini/CH_004_梁山伯与祝英台_gen_01.txt,ChineseTales,zh,祝英台为反抗父亲禁锢，女扮男装求学并与梁山伯结为兄弟，两人情投意合却因祝父强令婚配遭拒。祝英台最终以殉情方式追随梁山伯，两人化作蝴蝶永相厮守，成就凄美爱情传说。故事展现了封建礼教对女性的压迫与真挚情感的抗争，以化蝶结局象征永恒爱情。
CH_004_梁山伯与祝英台,synthetic_datasets/generated_stories/ChineseTales/CH_004_梁山伯与祝英台_v3/gemini/CH_004_梁山伯与祝英台_gen_02.txt,ChineseTales,zh,祝英台为反抗父亲禁锢，女扮男装求学杭州，与同窗梁山伯结为兄弟并暗生情愫。两人情投意合却遭祝父阻挠，祝英台被迫与权贵马文才成婚，最终为坚守爱情选择殉情。在婚礼当日，她纵身跃入梁山伯坟墓化作蝴蝶，与爱人永生相随，留下凄美绝唱。
CH_004_梁山伯与祝英台,synthetic_datasets/generated_stories/ChineseTales/CH_004_梁山伯与祝英台_v3/gemini/CH_004_梁山伯与祝英台_gen_03.txt,ChineseTales,zh,祝英台女扮男装求学，与同窗梁山伯结为兄弟并暗生情愫，却遭祝父强令许配权贵马文才。梁山伯病逝后，祝英台在迎亲途中殉情自尽，最终化作彩蝶双飞，成就千古绝唱。故事以封建礼教压迫下男女情爱的悲剧，展现了祝英台为追求自由爱情反抗父权的决绝与凄美结局。
CH_005_白蛇传,synthetic_datasets/generated_stories/ChineseTales/CH_005_白蛇传_v3/gemini/CH_005_白蛇传_gen_01.txt,ChineseTales,zh,峨眉山千年白蛇白素贞因好奇逃离洞府，被捕蛇人捕获后得牧童相救，五百年苦修终得道成仙。她化为人形后收服桀骜的小青为侍女，最终在杭州西湖断桥与转世恩人许仙相遇，开启一段跨越人妖的凄美爱情传说。故事以白素贞的修行历程、师徒情缘与宿命爱情为主线，展现其从妖到仙的蜕变与情感纠葛。
CH_005_白蛇传,synthetic_datasets/generated_stories/ChineseTales/CH_005_白蛇传_v3/gemini/CH_005_白蛇传_gen_02.txt,ChineseTales,zh,白素贞是修炼千年的小白蛇，因被牧童救下而心怀感恩，最终修成正果化身女子下凡。她与青蛇小青结缘，共同寻找转世的恩人许仙，最终在西湖断桥相遇，开启一段跨越前世今生的报恩情缘。故事展现了她从灵蛇到仙子的蜕变，以及对自由、善念与人间情缘的追寻。
CH_006_花木兰从军,synthetic_datasets/generated_stories/ChineseTales/CH_006_花木兰从军_v3/gemini/CH_006_花木兰从军_gen_01.txt,ChineseTales,zh,"北魏年间，花木兰为替年迈病弱的父亲从军，女扮男装通过比剑说服家人，奔赴边关立下赫赫战功，成为统领一方的将军。她以忠孝与勇武名震天下，十二年后辞官回乡侍奉双亲，其""替父从军""的传奇故事被世代传颂。"
CH_006_花木兰从军,synthetic_datasets/generated_stories/ChineseTales/CH_006_花木兰从军_v3/gemini/CH_006_花木兰从军_gen_02.txt,ChineseTales,zh,"北魏边关战乱频仍，花木兰为替年迈父亲从军，女扮男装奔赴战场，以卓越武艺和智谋屡立战功，最终升任将军。十二年后辞官归乡，以孝心与忠勇成为千古传颂的典范，其""替父从军""的故事被后世奉为忠孝双全的楷模。"
CH_007_嫦娥奔月,synthetic_datasets/generated_stories/ChineseTales/CH_007_嫦娥奔月_v3/gemini/CH_007_嫦娥奔月_gen_01.txt,ChineseTales,zh,后羿为拯救人间射落九日，与妻子嫦娥共同保管西王母赐予的长生仙药。逄蒙因嫉妒心生歹念，趁后羿外出时逼迫嫦娥交出仙药，嫦娥为保仙药不落入恶人之手，最终吞药飞升月宫成仙。后羿悲痛欲绝，每逢月圆夜便遥祭嫦娥，夫妻阴阳永隔。
CH_007_嫦娥奔月,synthetic_datasets/generated_stories/ChineseTales/CH_007_嫦娥奔月_v3/gemini/CH_007_嫦娥奔月_gen_02.txt,ChineseTales,zh,后羿射落九日拯救苍生，成为盖世英雄。他将西王母赐予的不死仙药托付妻子嫦娥保管，却遭徒弟逄蒙觊觎。逄蒙闯入后羿家中抢夺仙药，嫦娥为阻止其滥用，毅然吞药飞升月宫，与后羿永隔，留下千古相思。
CH_012_后羿射日,synthetic_datasets/generated_stories/ChineseTales/CH_012_后羿射日_v3/gemini/CH_012_后羿射日_gen_01.txt,ChineseTales,zh,在远古时代，天帝的十个太阳儿子同时出现导致大地焦枯，民不聊生。神箭手后羿为拯救苍生，射落九个太阳，迫使最后一个躲入山谷。天帝劝说残存太阳重返天际恢复光明，后羿因拯救苍生被封神赐予长生药，其英雄事迹流传万古。
CH_012_后羿射日,synthetic_datasets/generated_stories/ChineseTales/CH_012_后羿射日_v3/gemini/CH_012_后羿射日_gen_02.txt,ChineseTales,zh,上古时期，东方天帝的十个太阳金乌因贪玩同时出现，导致大地焦枯、生灵涂炭。神射手后羿射落九日，迫使最后一个太阳躲入深海，却引发新的黑暗危机。天帝以威严劝返逃逸的太阳并重设天规，最终封赏后羿为天庭神将，维系天地秩序与人间安宁。
CH_014_武松打虎,synthetic_datasets/generated_stories/ChineseTales/CH_014_武松打虎_v3/gemini/CH_014_武松打虎_gen_01.txt,ChineseTales,zh,"武松在酒店豪饮十八碗烈酒后，酒保劝阻他不要再饮，因当地有""三碗不过冈""的传说。酒保透露景阳冈近日有吊睛白额大虎出没，官府已张贴告示警示，但武松不信酒中掺水，仍执意要独自上山。故事通过对话展现武松的豪迈性格与酒保的担忧，为后续虎口逃生埋下伏笔。"
CH_014_武松打虎,synthetic_datasets/generated_stories/ChineseTales/CH_014_武松打虎_v3/gemini/CH_014_武松打虎_gen_02.txt,ChineseTales,zh,"武松在景阳冈下酒店酒后欲独自赶路，酒倌苦劝留宿并警告山中有猛虎出没。武松不听劝阻，声称大丈夫何惧山路，却未察觉自己已饮下""三碗不过冈""的烈酒。故事通过对话展现武松的豪迈性格与酒倌的担忧，为后续虎口逃生埋下伏笔。"
CH_301_神犬盘瓠,synthetic_datasets/generated_stories/ChineseTales/CH_301_神犬盘瓠_v3/gemini/CH_301_神犬盘瓠_gen_01.txt,ChineseTales,zh,上古时期，高辛氏帝君为平定北方鬼戎部落的侵扰，悬赏招募能臣，却无人敢应征。神犬盘瓠挺身而出，夜袭敌营斩杀鬼戎首领，以忠勇神威平定边患。帝君兑现承诺，将爱女许配盘瓠，并赐予丰厚封赏，终使天下重归太平。
CH_301_神犬盘瓠,synthetic_datasets/generated_stories/ChineseTales/CH_301_神犬盘瓠_v3/gemini/CH_301_神犬盘瓠_gen_02.txt,ChineseTales,zh,高辛帝面对边疆叛将的威胁悬赏征讨，却无人应征。宫中异犬盘瓠听懂圣旨，独自深入敌营斩杀叛将并带回首级。帝王在震惊之余陷入两难，既需兑现承诺却难以将公主许配给一只神犬。这个故事展现了帝王的承诺困境与异兽的非凡能力。
EN_001_The_Lion_and_the_Crane,synthetic_datasets/generated_stories/IndianTales/EN_001_The_Lion_and_the_Crane_v3/gemini/EN_001_The_Lion_and_the_Crane_gen_01.txt,IndianTales,en,"In a distant past, the compassionate White Crane (Bodhisatta) aids the suffering, ungrateful Lion Devadatta by removing a bone lodged in his throat, but the Lion spurns his kindness, revealing his arrogance. The Crane departs, later revealed by the Buddha to be his former incarnation, with Devadatta as his rival, highlighting themes of selfless virtue versus ingratitude and the path to enlightenment."
EN_001_The_Lion_and_the_Crane,synthetic_datasets/generated_stories/IndianTales/EN_001_The_Lion_and_the_Crane_v3/gemini/EN_001_The_Lion_and_the_Crane_gen_02.txt,IndianTales,en,"In a past life, the Bodhisatta, as a White Crane, saves a dying Lion (Devadatta) by removing a bone lodged in his throat, demanding a promise of safety. The Lion, however, betrays trust with arrogance, rejecting gratitude and threatening the Crane. The Crane, foreseeing his ingratitude, departs, foreshadowing Devadatta's future enmity toward the Buddha. The story underscores karma and the importance of virtue, as the Buddha reveals the Crane was himself in a former birth."
EN_002_How_the_Raja's_Son_won_the_Princess_Labam,synthetic_datasets/generated_stories/IndianTales/EN_002_How_the_Raja's_Son_won_the_Princess_Labam_v3/gemini/EN_002_How_the_Raja's_Son_won_the_Princess_Labam_gen_01.txt,IndianTales,en,"The young prince defies his mother's warning to explore the forbidden northern mountains, where he encounters magical beings and learns of Princess Labam. Guided by their aid, he overcomes the King's impossible trials, including crushing mustard seeds, slaying demons, and beating a skyward drum, ultimately winning Princess Labam's hand in marriage through courage, kindness, and the support of his allies. His journey culminates in a triumphant union and return to rule his kingdom wisely."
